City, Type, Population
Kalamo Township, township, 1842
Schoolcraft Township Houghton County, township, 1839
Fairplain Township, township, 1836
Dover Township Lenawee County, township, 1834
Pine Township, township, 1834
Sciota Township, township, 1833
Keene Township, township, 1831
Hamilton Township Clare County, township, 1829
Goodland Township, township, 1828
Tawas City, city, 1827
Mio, unincorporated community and CDP, 1826
Lincoln Township Clare County, township, 1824
Decatur, village, 1819
Deerfield Township Mecosta County, township, 1816
Chassell Township, township, 1812
Howard City, village, 1808
Parchment, city, 1804
Berrien Springs, village, 1800
Locke Township, township, 1791
Rome Township, township, 1791
Girard Township, township, 1780
Cassopolis, village, 1774
Penn Township, township, 1774
Wells Township Tuscola County, township, 1773
Kearney Township, township, 1765
Reading Township, township, 1765
Fairfield Township Lenawee County, township, 1764
Marlette Township, township, 1763
Sebewaing, village, 1759
Cedar Creek Township Wexford County, township, 1757
Springville Township, township, 1755
Bear Lake Township Manistee County, township, 1751
Greendale Township, township, 1751
Corwith Township, township, 1748
Chester Township Eaton County, township, 1747
Tawas Township, township, 1744
Crystal Falls Township, township, 1743
Garfield Township Bay County, township, 1743
Golden Township, township, 1742
Whitehall Township, township, 1739
Sharon Township, township, 1737
Beaver Creek Township, township, 1736
Watervliet, city, 1735
Masonville Township, township, 1734
Armada, village, 1730
Marenisco Township, township, 1727
Stony Point, unincorporated community and CDP, 1724
Forest Home Township, township, 1720
Sylvan Lake, city, 1720
Twin Lake, unincorporated community and CDP, 1720
Marion Township Charlevoix County, township, 1714
Churchill Township, township, 1713
Bingham Township Huron County, township, 1709
Harbor Beach, city, 1703
Webber Township, township, 1699
Baldwin Township Iosco County, township, 1694
Marion Township Osceola County, township, 1692
Maple Ridge Township Alpena County, township, 1690
Elmira Township, township, 1687
Prudenville, unincorporated community and CDP, 1682
Arcada Township, township, 1681
Lake Isabella, village, 1681
Mount Haley Township, township, 1678
Ossineke Township, township, 1675
South Rockwood, village, 1675
Bridgewater Township, township, 1674
Spalding Township, township, 1674
Homer, village, 1668
Jonesfield Township, township, 1667
Marion Township Sanilac County, township, 1659
Washington Township Sanilac County, township, 1659
Zilwaukee, city, 1658
Allen Township, township, 1657
Montrose, city, 1657
Presque Isle Township, township, 1656
Wright Township Hillsdale County, township, 1655
Quincy, village, 1652
Charlevoix Township, township, 1645
Tekonsha Township, township, 1645
Elk Rapids, village, 1642
Convis Township, township, 1636
Newberg Township, township, 1632
Wheatfield Township, township, 1632
Nashville, village, 1628
Fredonia Township, township, 1626
Martiny Township, township, 1625
Rich Township, township, 1623
West Branch Township Marquette County, township, 1623
Three Oaks, village, 1622
Banks Township, township, 1609
Kasson Township, township, 1609
West Traverse Township, township, 1606
Olivet, city, 1605
Bushnell Township, township, 1604
Fork Township, township, 1604
Ovid, village, 1603
Pittsford Township, township, 1603
Milan Township, township, 1601
Montague Township, township, 1600
Union City, village, 1599
Pickford Township, township, 1595
Maple Grove Township Barry County, township, 1593
Koylton Township, township, 1585
Pleasant Plains Township, township, 1581
Fairgrove Township, township, 1579
Bark River Township, township, 1578
Moorland Township, township, 1575
Sheridan Township Clare County, township, 1575
Kingston Township, township, 1574
Allouez Township, township, 1571
Deerfield Township Lenawee County, township, 1568
Juniata Township, township, 1567
Flowerfield Township, township, 1562
Austin Township Mecosta County, township, 1561
Hanover Township Wexford County, township, 1560
Birch Run, village, 1555
Richmond Township Osceola County, township, 1554
Norman Township, township, 1553
Mayfield Township Grand Traverse County, township, 1550
Grant Township Iosco County, township, 1546
Ridgeway Township, township, 1542
Greenwood Township St. Clair County, township, 1538
Brookfield Township Eaton County, township, 1537
Boardman Township, township, 1530
Greilickville, unincorporated community and CDP, 1530
Elk Township Sanilac County, township, 1526
Schoolcraft, village, 1525
Springfield Township Kalkaska County, township, 1523
White Pigeon, village, 1522
Newberry, village, 1519
Pentwater Township, township, 1515
Shepherd, village, 1515
Caledonia, village, 1511
Middlebury Township, township, 1510
Solon Township Leelanau County, township, 1509
Standish, city, 1509
Akron Township, township, 1503
Lincoln Township Osceola County, township, 1500
Hudson Township Lenawee County, township, 1497
Kinderhook Township, township, 1497
Ontonagon, village, 1494
Novesta Township, township, 1491
Richland Township Missaukee County, township, 1491
Hamilton Township Van Buren County, township, 1489
Norway Township, township, 1489
Macon Township, township, 1486
Eveline Township, township, 1484
Coloma, city, 1483
Evart Township, township, 1483
Oliver Township Huron County, township, 1483
Speaker Township, township, 1483
Kingsley, village, 1480
Burlington Township Lapeer County, township, 1478
Bay Mills Township, township, 1477
Fawn River Township, township, 1477
Moscow Township, township, 1470
Crystal Falls, city, 1469
Butler Township, township, 1467
Franklin Township Houghton County, township, 1466
Hemlock, unincorporated community and CDP, 1466
Coldsprings Township, township, 1464
Gilmore Township Isabella County, township, 1459
Fremont Township Isabella County, township, 1455
Reese, village, 1454
Galien Township, township, 1452
Ortonville, village, 1442
Merritt Township, township, 1441
Wacousta, unincorporated community and CDP, 1440
Benona Township, township, 1437
Luna Pier, city, 1436
Mottville Township, township, 1436
Bethel Township, township, 1434
Freedom Township, township, 1428
Centreville, village, 1425
Port Austin Township, township, 1424
Ferris Township, township, 1422
Stanton Township, township, 1419
Stanton, city, 1417
Watersmeet Township, township, 1417
Edwards Township, township, 1413
Greenbush Township Alcona County, township, 1409
White Cloud, city, 1408
Bethany Township, township, 1407
Riga Township, township, 1406
Au Sable, unincorporated community and CDP, 1404
Melrose Township, township, 1403
Wheatland Township Mecosta County, township, 1403
Fennville, city, 1398
Wise Township, township, 1397
Elba Township Gratiot County, township, 1396
Harvey, unincorporated community and CDP, 1393
Sheridan Township Mecosta County, township, 1393
Lewiston, unincorporated community and CDP, 1392
Mount Forest Township, township, 1392
Mancelona, village, 1390
Victory Township, township, 1383
Rose Lake Township, township, 1373
Lyon Township, township, 1370
Rudyard Township, township, 1370
Litchfield, city, 1369
Vernon Township Isabella County, township, 1369
Rose Township Ogemaw County, township, 1368
Hay Township, township, 1362
Hill Township, township, 1361
Hope Township Midland County, township, 1361
Charlton Township, township, 1354
Rapid City, unincorporated community and CDP, 1352
Wheatland Township Hillsdale County, township, 1351
Bronson Township, township, 1349
Harrisville Township, township, 1348
Maple River Township, township, 1348
Shorewood-Tower Hills-Harbert, unincorporated community and CDP, 1344
Frederic Township, township, 1341
Batavia Township, township, 1339
Superior Township, township, 1337
White River Township, township, 1335
Ellington Township, township, 1332
Burdell Township, township, 1331
New Haven Township Shiawassee County, township, 1329
Onekama Township, township, 1329
Branch Township, township, 1328
Breckenridge, village, 1328
Brown City, city, 1325
Saranac, village, 1325
Woodbridge Township, township, 1325
Watertown Township Sanilac County, township, 1320
Caldwell Township, township, 1317
Maple Grove Township Manistee County, township, 1316
Mullett Township, township, 1312
Buckeye Township, township, 1308
Pinconning, city, 1307
Rolland Township, township, 1305
Eckford Township, township, 1303
Hiawatha Township, township, 1302
Wakeshma Township, township, 1301
McKinley Township Emmet County, township, 1297
Chester Township Otsego County, township, 1292
Ferry Township, township, 1292
Lakewood Club, village, 1291
Rush Township, township, 1291
Manton, city, 1287
Frankfort, city, 1286
Columbia Township Tuscola County, township, 1284
Koehler Township, township, 1283
Laingsburg, city, 1283
Bellevue, village, 1282
North Plains Township, township, 1279
Porter Township Midland County, township, 1277
Lincoln Township Newaygo County, township, 1275
Centerville Township, township, 1274
Webberville, village, 1272
Buel Township, township, 1265
Dafter Township, township, 1263
Edwardsburg, village, 1259
Verona Township, township, 1259
Napoleon, unincorporated community and CDP, 1258
Custer Township Mason County, township, 1254
Highland Township, township, 1250
Coleman, city, 1243
Florence Township, township, 1242
Curtis Township, township, 1236
Dimondale, village, 1234
Orange Township Kalkaska County, township, 1233
Douglas, city, 1232
Seneca Township, township, 1230
Lynn Township, township, 1229
Burt, unincorporated community and CDP, 1228
Green Township, township, 1228
Ogemaw Township, township, 1223
Maple Valley Township Sanilac County, township, 1221
Sand Beach Township, township, 1221
Ravenna, village, 1219
Matteson Township, township, 1218
Stockbridge, village, 1218
Lake Michigan Beach, unincorporated community and CDP, 1216
Lake Township Roscommon County, township, 1215
Scottville, city, 1214
Lee Township Calhoun County, township, 1213
Chippewa Township Mecosta County, township, 1212
Le Roy Township, township, 1212
Rock River Township, township, 1212
Gibson Township, township, 1210
Weare Township, township, 1210
Baldwin, village, 1208
Fowler, village, 1208
Pigeon, village, 1208
Elmwood Township, township, 1207
Brooklyn, village, 1206
Moore Township, township, 1203
Edmore, village, 1201
Marcellus, village, 1198
Boyne Valley Township, township, 1195
Harbor Springs, city, 1194
Torch Lake Township Antrim County, township, 1194
Quinnesec, unincorporated community and CDP, 1191
Bengal Township, township, 1188
Sherman Township Mason County, township, 1186
Leonidas Township, township, 1185
Greenwood Township Oceana County, township, 1184
Moffatt Township, township, 1184
Memphis, city, 1183
Empire Township, township, 1182
South Gull Lake, unincorporated community and CDP, 1182
Jasper Township, township, 1180
Riverside Township, township, 1179
Lexington, village, 1178
Bessemer Township, township, 1176
Amboy Township, township, 1173
Colon, village, 1173
Grass Lake, village, 1173
White Oak Township, township, 1173
Day Township, township, 1172
Sebewa Township, township, 1171
Beaugrand Township, township, 1168
Caledonia Township Alcona County, township, 1161
Nadeau Township, township, 1161
Forest Township Missaukee County, township, 1157
Freeman Township, township, 1157
Riverton Township, township, 1153
Secord Township, township, 1151
Mellen Township, township, 1150
Denver Township Isabella County, township, 1148
Garfield Township Mackinac County, township, 1146
Petersburg, city, 1146
Rapid River Township, township, 1145
Mentor Township Oscoda County, township, 1143
Stevensville, village, 1142
Stambaugh Township, township, 1140
Clarendon Township, township, 1139
Au Train Township, township, 1138
Elmer Township Oscoda County, township, 1138
Chase Township, township, 1137
Custer Township Antrim County, township, 1136
Reeder Township, township, 1128
Hinton Township, township, 1126
Albion Township, township, 1123
Bay Township, township, 1122
Greenwood Township Oscoda County, township, 1121
Montmorency Township, township, 1117
Gladwin Township, township, 1116
Millbrook Township, township, 1113
Volinia Township, township, 1112
Bingham Farms, village, 1111
Fairhaven Township, township, 1107
Hawes Township, township, 1107
Sagola Township, township, 1106
Sylvan Township Osceola County, township, 1099
Wilcox Township, township, 1098
Clayton Township, township, 1097
Manistique Township, township, 1095
Sims Township, township, 1095
Barnes Lake-Millers Lake, unincorporated community and CDP, 1093
Carson City, city, 1093
Fruitport, village, 1093
Newark Township, township, 1093
Medina Township, township, 1090
Bellaire, village, 1086
Sherman Township Huron County, township, 1083
Dollar Bay, unincorporated community and CDP, 1082
Reading, city, 1078
Osceola Township Osceola County, township, 1076
Roscommon, village, 1075
Millington, village, 1072
Sheridan Township Mason County, township, 1072
Wexford Township, township, 1072
Beaverton, city, 1071
Grant Township Grand Traverse County, township, 1066
Lakefield Township Luce County, township, 1061
Chapin Township, township, 1060
Republic Township, township, 1060
Drummond Township, township, 1058
Kent City, village, 1057
Geneva Township Midland County, township, 1056
Fremont Township Sanilac County, township, 1051
Brampton Township, township, 1050
Concord, village, 1050
Flynn Township, township, 1050
Frost Township, township, 1047
Forest Township Cheboygan County, township, 1045
Sherman Township Gladwin County, township, 1043
Nunda Township, township, 1042
Sherman Township Osceola County, township, 1042
Greenwood Township Clare County, township, 1041
California Township, township, 1040
North Branch, village, 1033
Cleveland Township, township, 1031
Lakefield Township Saginaw County, township, 1029
Iron River Township, township, 1027
Athens, village, 1024
Tilden Township, township, 1013
Forester Township, township, 1011
Long Rapids Township, township, 1010
Lake Linden, village, 1007
Lakeview, village, 1007
Custer Township Sanilac County, township, 1006
New Haven Township Gratiot County, township, 1004
Litchfield Township, township, 1003
Hubbard Lake, CDP, 1002
Hubbard Lake, unincorporated community, 1002
Helena Township, township, 1001
Meyer Township, township, 1001
Whitney Township, township, 1001
Lawrence, village, 996
Attica, unincorporated community and CDP, 994
Moran Township, township, 994
Dickson Township, township, 993
Jordan Township, township, 992
Orange Township Ionia County, township, 987
Elk Township Lake County, township, 985
Rogers Township, township, 984
Portage Township, township, 981
Ogden Township, township, 973
Elbridge Township, township, 971
Alcona Township, township, 968
Elsie, village, 966
Weidman, unincorporated community and CDP, 959
Cleon Township, township, 957
Crystal Lake Township, township, 957
Hesperia, village, 954
Au Gres Township, township, 953
Excelsior Township, township, 953
Central Lake, village, 952
Emerson Township, township, 952
Dryden, village, 951
Mayville, village, 950
Aloha Township, township, 949
Allis Township, township, 948
Mikado Township, township, 947
Hubbell, unincorporated community and CDP, 946
Lincoln Township Arenac County, township, 942
Saint Ignace Township, township, 939
Ossineke, unincorporated community and CDP, 938
Ingallston Township, township, 935
Hatton Township, township, 933
Ransom Township, township, 932
Horton Township, township, 927
Morrice, village, 927
Star Township, township, 926
Saugatuck, city, 925
Evergreen Township Sanilac County, township, 924
Summit Township Mason County, township, 924
Marion Township Saginaw County, township, 923
Westphalia, village, 923
Bates Township, township, 921
Lamotte Township, township, 919
Onsted, village, 917
Richland Township Ogemaw County, township, 914
Grant Township Huron County, township, 913
Grant Township Mason County, township, 909
Caspian, city, 906
Arenac Township, township, 903
Case Township, township, 903
Oscoda, unincorporated community and CDP, 903
Clement Township, township, 901
Deerfield, village, 898
Middletown, unincorporated community and CDP, 897
Grant, city, 894
Leavitt Township, township, 891
Au Gres, city, 889
Friendship Township, township, 889
North Star Township, township, 888
Augusta, village, 885
Clam Union Township, township, 882
Richmond Township Marquette County, township, 882
Village of Clarkston, city, 882
Onaway, city, 880
Wilmot Township, township, 878
Echo Township, township, 877
Baroda, village, 873
Delton, unincorporated community and CDP, 872
Marion, village, 872
Farwell, village, 871
Mendon, village, 870
Washington Township Gratiot County, township, 870
Otisville, village, 864
Lake Township Lake County, township, 862
Shoreham, village, 862
Stephenson, city, 862
Liberty Township Wexford County, township, 861
Glen Arbor Township, township, 859
Sanford, village, 859
Ubly, village, 858
Pentwater, village, 857
Delaware Township, township, 856
Lake Township Huron County, township, 855
Bridgehampton Township, township, 854
Mason Township Arenac County, township, 851
Posen Township, township, 850
Grant Township Cheboygan County, township, 846
Bentley Township, township, 844
Foster Township, township, 843
Middle Branch Township, township, 843
Colfax Township Wexford County, township, 840
Crystal Township Oceana County, township, 838
Lake City, city, 836
Deckerville, village, 830
Gobles, city, 829
Burr Oak, village, 828
Atlanta, unincorporated community and CDP, 827
Otto Township, township, 826
Skandia Township, township, 826
Franklin Township Clare County, township, 825
Pleasantview Township, township, 823
Free Soil Township, township, 822
Pellston, village, 822
Gilmore Township Benzie County, township, 821
Stronach Township, township, 821
Mentor Township Cheboygan County, township, 818
Pleasanton Township, township, 818
Ellsworth Township, township, 817
Powell Township, township, 816
Antioch Township, township, 815
Elkton, village, 808
Detour Township, township, 807
Lincoln Township Huron County, township, 807
Elmer Township Sanilac County, township, 806
Mackinaw City, village, 806
Garfield Township Kalkaska County, township, 804
Waucedah Township, township, 804
Springport, village, 800
Joyfield Township, township, 799
Lilley Township, township, 797
Gustin Township, township, 795
Thompson Township, township, 795
Greenland Township, township, 792
Stannard Township, township, 790
Lyons, village, 789
Burleigh Township, township, 787
Columbiaville, village, 787
Vernon, village, 783
Greenleaf Township, township, 781
Springdale Township, township, 781
Merrill, village, 778
Caseville, village, 777
Claybanks Township, township, 777
Coldwater Township Isabella County, township, 777
Orient Township, township, 773
Grawn, unincorporated community and CDP, 772
Parma, village, 769
Climax, village, 767
Maple Ridge Township Delta County, township, 766
Yates Township, township, 761
Brookfield Township Huron County, township, 760
Argyle Township, township, 759
Baldwin Township Delta County, township, 759
Carp Lake Township Emmet County, township, 759
Lake Township Benzie County, township, 759
Vermontville, village, 759
Dwight Township, township, 758
South Range, village, 758
Fairfield Township Shiawassee County, township, 755
Bay Shore, unincorporated community and CDP, 754
Felch Township, township, 752
Belknap Township, township, 751
Richland, village, 751
Garden Township, township, 750
Hume Township, township, 749
Ensign Township, township, 748
Brown Township, township, 747
Gilford Township, township, 741
Alanson, village, 738
Inwood Township, township, 733
Rubicon Township, township, 732
Wilber Township, township, 729
Calumet, village, 726
Norwood Township, township, 723
Carp Lake Township Ontonagon County, township, 722
Haynes Township, township, 722
Robin Glen-Indiantown, unincorporated community and CDP, 722
Meade Township Huron County, township, 720
Barton Township, township, 717
Pinora Township, township, 717
Tekonsha, village, 717
Daggett Township, township, 714
Evangeline Township, township, 712
Sheridan Township Huron County, township, 712
Krakow Township, township, 705
Parkdale, unincorporated community and CDP, 704
Hillman, village, 701
Cumming Township, township, 698
Buckley, village, 697
Fostoria, unincorporated community and CDP, 694
Hudson Township Charlevoix County, township, 691
Wisner Township, township, 690
Boon Township, township, 687
Grant Township Mecosta County, township, 686
Burt Township Cheboygan County, township, 680
Maple Rapids, village, 672
Stephenson Township, township, 670
Bear Lake Township Kalkaska County, township, 667
Merrill Township, township, 667
Austin Township Sanilac County, township, 665
North Shade Township, township, 665
Port Austin, village, 664
Gilead Township, township, 661
Wawatam Township, township, 661
Colfax Township Benzie County, township, 657
Mastodon Township, township, 656
McBain, city, 656
Ocqueoc Township, township, 655
Maple Forest Township, township, 653
Rose City, city, 653
Sugar Island Township, township, 652
Sheridan, village, 649
Arthur Township, township, 647
Raber Township, township, 647
Avery Township, township, 646
Arcadia Township Manistee County, township, 639
Newkirk Township, township, 632
Peck, village, 632
Lovells Township, township, 626
Eau Claire, village, 625
Doyle Township, township, 624
Port Sanilac, village, 623
Bliss Township, township, 620
Suttons Bay, village, 618
Klacking Township, township, 614
Norwich Township Missaukee County, township, 611
Hopkins, village, 610
Norwich Township Newaygo County, township, 607
Addison, village, 605
Lebanon Township, township, 605
Muir, village, 604
Marquette Township Mackinac County, township, 603
Ellis Township, township, 596
Brevort Township, township, 594
Cornell Township, township, 593
Lafayette Township, township, 591
Reno Township, township, 590
Greenwood Township Wexford County, township, 587
Vienna Township Montmorency County, township, 587
Britton, village, 586
Interlochen, unincorporated community and CDP, 583
Eden Township Mason County, township, 582
Byron, village, 581
New Lothrop, village, 581
Readmond Township, township, 581
Sunfield, village, 578
Whitefish Township, township, 575
Munro Township, township, 571
Republic, unincorporated community and CDP, 570
Center Township, township, 568
Hartwick Township, township, 567
Metamora, village, 565
Adams Township Arenac County, township, 563
Ashley, village, 563
Dansville, village, 563
Fairgrove, village, 563
Maybee, village, 562
Vanderbilt, village, 562
Dover Township Otsego County, township, 561
Rust Township, township, 561
Lake Township Menominee County, township, 556
Laird Township, township, 555
Mathias Township, township, 554
Mulliken, village, 553
Blaine Township, township, 551
Logan Township Ogemaw County, township, 551
Turner Township, township, 550
Galien, village, 549
Goodwell Township, township, 547
Bancroft, village, 545
Minden Township, township, 545
Weldon Township, township, 542
Mackinaw Township, township, 539
Waldron, village, 538
South Boardman, unincorporated community and CDP, 536
Bloomfield Township Missaukee County, township, 531
Sterling, village, 530
Carsonville, village, 527
Northport, village, 526
Redding Township, township, 526
Burt Township Alger County, township, 522
North Allis Township, township, 521
Noble Township, township, 520
Camden, village, 512
Eastlake, village, 512
Horton Bay, unincorporated community and CDP, 512
Chestonia Township, township, 511
Lennon, village, 511
Beaver Township Newaygo County, township, 509
Unionville, village, 508
Slagle Township, township, 503
Sand Lake, village, 500
Breen Township, township, 499
Benzonia, village, 497
New Troy, unincorporated community and CDP, 497
Nahma Township, township, 495
Harrisville, city, 493
Morley, village, 493
Mackinac Island, city, 492
Peacock Township, township, 492
Butterfield Township, township, 489
Wheatland Township Sanilac County, township, 488
Alabaster Township, township, 487
Eden Township Lake County, township, 487
Germfask Township, township, 486
Freeport, village, 483
Paris Township, township, 481
Zeba, unincorporated community and CDP, 480
McMillan Township Ontonagon County, township, 478
Bay Port, unincorporated community and CDP, 477
North Adams, village, 477
Covington Township, township, 476
White Pine, unincorporated community and CDP, 474
Chandler Township Huron County, township, 472
Kaleva, village, 470
Pewamo, village, 469
Bergland Township, township, 467
West Branch Township Missaukee County, township, 466
Hamilton Township Gratiot County, township, 465
Sigel Township, township, 465
Humboldt Township, township, 464
Colfax Township Oceana County, township, 462
Bourret Township, township, 461
Hancock Township, township, 461
Winterfield Township, township, 459
Mecosta, village, 457
Waverly Township Cheboygan County, township, 457
Summerfield Township Clare County, township, 456
Bloomfield Township Huron County, township, 455
Cedar Township, township, 455
Bloomingdale, village, 454
New Era, village, 451
Pioneer Township, township, 451
Arvon Township, township, 450
Kinde, village, 448
Sherman Township Iosco County, township, 448
Snover, unincorporated community and CDP, 448
McKinley Township Huron County, township, 445
Fife Lake, village, 443
Clinton Township Oscoda County, township, 441
Hanover, village, 441
Thompsonville, village, 441
Kingston, village, 440
Cement City, village, 438
Limestone Township, township, 438
Huron Township, township, 437
Rothbury, village, 432
Watersmeet, unincorporated community and CDP, 428
Newton Township Mackinac County, township, 427
Woodland, village, 425
Powers, village, 422
Gourley Township, township, 420
Estral Beach, village, 418
Palmer, unincorporated community and CDP, 418
Warner Township, township, 416
Aetna Township Missaukee County, township, 413
Jasper, unincorporated community and CDP, 412
Onekama, village, 411
Brethren, unincorporated community and CDP, 410
Martin, village, 410
Perrinton, village, 406
Union Township Grand Traverse County, township, 405
Millen Township, township, 404
Leonard, village, 403
Akron, village, 402
Henderson, unincorporated community and CDP, 399
Goodar Township, township, 398
Cherry Valley Township, township, 396
Dover Township Lake County, township, 395
Hubbardston, village, 395
Clarksville, village, 394
Mesick, village, 394
Marilla Township, township, 393
Otter Lake, village, 389
Gagetown, village, 388
Blue Lake Township Kalkaska County, township, 387
Bismarck Township, township, 386
Trout Lake Township, township, 384
Whittemore, city, 384
South Branch Township Wexford County, township, 383
Gaines, village, 380
Leland, unincorporated community and CDP, 377
Empire, village, 375
Dowling, unincorporated community and CDP, 374
Elberta, village, 372
Bearinger Township, township, 369
Rosebush, village, 368
Saint James Township, township, 365
Oden, unincorporated community and CDP, 363
Beal City, unincorporated community and CDP, 357
Carp Lake, unincorporated community and CDP, 357
Barryton, village, 355
Platte Township, township, 354
Mitchell Township, township, 352
Onota Township, township, 352
Hersey, village, 350
Ellsworth, village, 349
Michigamme Township, township, 349
Lupton, unincorporated community and CDP, 348
Gaastra, city, 347
Clayton, village, 344
Pulawski Township, township, 343
Beulah, village, 342
Montgomery, village, 342
Hematite Township, township, 338
Lincoln, village, 337
Interior Township, township, 336
Holmes Township, township, 335
Sauble Township, township, 333
Backus Township, township, 330
Haring, unincorporated community and CDP, 328
Honor, village, 328
Walker Township, township, 327
Erwin Township, township, 326
De Tour Village, village, 325
Clifford, village, 324
Hickory Corners, unincorporated community and CDP, 322
Monroe Township, township, 320
Big Bay, unincorporated community and CDP, 319
Casnovia, village, 319
Luther, village, 318
Omer, city, 313
Logan Township Mason County, township, 312
Lost Lake Woods, unincorporated community and CDP, 312
Wellston, unincorporated community and CDP, 311
Sherwood, village, 309
Wellington Township, township, 307
Bay de Noc Township, township, 305
Wakefield Township, township, 305
Canada Creek Ranch, unincorporated community and CDP, 304
Metz Township, township, 302
Vandalia, village, 301
Champion Township, township, 297
Moltke Township, township, 296
Alba, unincorporated community and CDP, 295
Nester Township, township, 295
Barton Hills, village, 294
Boyne Falls, village, 294
Loud Township, township, 293
Peaine Township, township, 292
Arcadia, unincorporated community and CDP, 291
Lake Angelus, city, 290
Oakley, village, 290
Walloon Lake, unincorporated community and CDP, 290
Bear Lake, village, 286
Custer, village, 284
Amasa, unincorporated community and CDP, 283
Troy Township, township, 283
Cross Village Township, township, 281
Fairbanks Township, township, 281
Oliver Township Kalkaska County, township, 281
Spurr Township, township, 276
Grand Beach, village, 272
Michigamme, unincorporated community and CDP, 271
Quincy Township Houghton County, township, 270
Emmett, village, 269
Hebron Township, township, 269
Lake Ann, village, 268
Omena, unincorporated community and CDP, 267
Port Hope, village, 267
Prescott, village, 266
Jennings, unincorporated community and CDP, 264
Burlington, village, 261
Daggett, village, 258
Le Roy, village, 256
Au Sable Township, township, 255
Marenisco, unincorporated community and CDP, 254
Cedarville Township, township, 253
Lake Leelanau, unincorporated community and CDP, 253
Applegate, village, 248
Chandler Township Charlevoix County, township, 248
Holland Township, township, 248
Walkerville, village, 247
Sweetwater Township, township, 245
Wolverine, village, 244
Faithorn Township, township, 243
Mansfield Township, township, 241
Owendale, village, 241
Duncan Township, township, 236
Mueller Township, township, 234
Posen, village, 234
Home Township Newaygo County, township, 232
Wells Township Marquette County, township, 231
Tustin, village, 230
Glen Arbor, unincorporated community and CDP, 229
Rockland Township, township, 228
Garden, village, 221
Chatham, village, 220
Grant Township Keweenaw County, township, 219
Brutus, unincorporated community and CDP, 218
Eastport, unincorporated community and CDP, 218
Eagle Harbor Township, township, 217
Levering, unincorporated community and CDP, 215
Chippewa Township Chippewa County, township, 213
Haight Township, township, 212
Stanwood, village, 211
Bendon, unincorporated community and CDP, 208
Maple City, unincorporated community and CDP, 207
Millersburg, village, 206
McBride, village, 205
Columbus Township Luce County, township, 204
Conway, unincorporated community and CDP, 204
Breedsville, village, 199
Minden City, village, 197
Copemish, village, 194
Enterprise Township, township, 194
Fountain, village, 193
Carney, village, 192
Allen, village, 191
Copper City, village, 190
Michiana, village, 182
Hudson Township Mackinac County, township, 181
Meade Township Mason County, township, 181
Twining, village, 181
Melvin, village, 180
Elm River Township, township, 177
Pierson, village, 172
Hulbert Township, township, 168
Boon, unincorporated community and CDP, 167
Henderson Township, township, 163
Stronach, unincorporated community and CDP, 162
Ewing Township, township, 160
Hendricks Township, township, 153
Turin Township, township, 153
Novi Township, township, 150
Ahmeek, village, 146
Alpha, village, 145
Free Soil, village, 144
Gore Township, township, 144
Harrietta, village, 143
Ironton, unincorporated community and CDP, 140
Forestville, village, 136
Grim Township, township, 136
Bay View, unincorporated community and CDP, 133
Maple Grove, unincorporated community and CDP, 132
Alden, unincorporated community and CDP, 125
Eagle, village, 123
Seney Township, township, 119
Filer City, unincorporated community and CDP, 116
Turner, village, 114
Copper Harbor, unincorporated community and CDP, 108
Bois Blanc Township, township, 95
Matchwood Township, township, 94
Cedar, unincorporated community and CDP, 93
Cross Village, unincorporated community and CDP, 93
Bohemia Township, township, 82
Houghton Township, township, 82
Eagle Harbor, unincorporated community and CDP, 76
Eagle River, unincorporated community and CDP, 71
Ponshewaing, unincorporated community and CDP, 69
Sherman Township Keweenaw County, township, 67
Zilwaukee Township, township, 67
West Branch Township Dickinson County, township, 63
Crystal Downs Country Club, unincorporated community and CDP, 47
Grand Island Township, township, 47
Pointe Aux Barques Township, township, 10
